day,product,category,rows,unique_timestamps,missing_bid1,missing_ask1,missing_bid2,missing_ask2,missing_bid3,missing_ask3,locked_books,crossed_books,negative_or_zero_mid,duplicated_timestamps,trade_count
2,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,MICROCHIP_CIRCLE,MICROCHIP,10000,10000,0,0,795,806,9891,9904,0,0,0,0,174
2,MICROCHIP_OVAL,MICROCHIP,10000,10000,0,0,290,222,9882,9895,0,0,0,0,174
2,MICROCHIP_RECTANGLE,MICROCHIP,10000,10000,0,0,426,444,9885,9897,0,0,0,0,174
2,MICROCHIP_SQUARE,MICROCHIP,10000,10000,0,0,7,13,9879,9895,0,0,0,0,174
2,MICROCHIP_TRIANGLE,MICROCHIP,10000,10000,0,0,29,40,9879,9895,0,0,0,0,174
2,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,PANEL_1X2,PANEL,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,PANEL_1X4,PANEL,10000,10000,0,0,145,150,9836,9855,0,0,0,0,229
2,PANEL_2X2,PANEL,10000,10000,0,0,252,197,9842,9855,0,0,0,0,229
2,PANEL_2X4,PANEL,10000,10000,0,0,0,0,9835,9854,0,0,0,0,229
2,PANEL_4X4,PANEL,10000,10000,0,0,72,76,9835,9854,0,0,0,0,229
2,PEBBLES_L,PEBBLES,10000,10000,0,0,0,0,9874,9840,0,0,0,0,212
2,PEBBLES_M,PEBBLES,10000,10000,0,0,0,0,9874,9840,0,0,0,0,212
2,PEBBLES_S,PEBBLES,10000,10000,0,0,0,0,9874,9840,0,0,0,0,212
2,PEBBLES_XL,PEBBLES,10000,10000,0,0,0,0,9874,9840,0,0,0,0,212
2,PEBBLES_XS,PEBBLES,10000,10000,0,0,0,0,9874,9840,0,0,0,0,212
2,ROBOT_DISHES,ROBOT,10000,10000,0,0,2405,2347,9873,9891,0,0,0,0,229
2,ROBOT_IRONING,ROBOT,10000,10000,0,0,4415,4422,9896,9908,0,0,0,0,229
2,ROBOT_LAUNDRY,ROBOT,10000,10000,0,0,1707,1783,9871,9877,0,0,0,0,229
2,ROBOT_MOPPING,ROBOT,10000,10000,0,0,1581,1571,9868,9880,0,0,0,0,229
