product,category,model,from_regime,to_regime,count
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,0,0.0,3981
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,0,1.0,74
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,0,2.0,72
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,1,0.0,74
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,1,1.0,2
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,2,0.0,71
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,kmeans3,2,1.0,1
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,0,0.0,3981
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,0,1.0,74
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,0,2.0,72
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,1,0.0,74
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,1,1.0,2
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,2,0.0,71
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,kmeans3,2,1.0,1
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,0,0.0,3981
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,0,1.0,72
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,0,2.0,74
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,1,0.0,71
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,1,2.0,1
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,2,0.0,74
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,kmeans3,2,2.0,2
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,0,0.0,3981
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,0,1.0,72
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,0,2.0,74
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,1,0.0,71
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,1,2.0,1
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,kmeans3,2,0.0,74
