product,category,spread_min,spread_mean,spread_median,spread_p75,spread_p90,spread_p99,bid_depth_mean,ask_depth_mean,depth_imbalance_abs_mean
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,14.512766666666666,14.0,16.0,16.0,18.0,49.56796666666666,49.567233333333334,0.0013050843307864872
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,13.050833333333333,13.0,14.0,14.0,15.0,49.56796666666666,49.567233333333334,0.0013050843307864872
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,13.690033333333334,14.0,15.0,15.0,16.0,49.56796666666666,49.567233333333334,0.0013050843307864872
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,6,14.071533333333333,14.0,15.0,15.0,16.0,49.56796666666666,49.567233333333334,0.0013050843307864872
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,5,13.301266666666667,14.0,14.0,14.0,15.0,49.56796666666666,49.567233333333334,0.0013050843307864872
MICROCHIP_CIRCLE,MICROCHIP,3,8.262166666666667,8.0,9.0,9.0,10.0,16.026166666666665,16.029566666666668,0.002514265609003736
MICROCHIP_OVAL,MICROCHIP,2,7.449766666666667,8.0,9.0,9.0,10.0,16.026166666666665,16.029566666666668,0.002514265609003736
MICROCHIP_RECTANGLE,MICROCHIP,3,7.885766666666667,8.0,8.0,9.0,9.0,16.026166666666665,16.029566666666668,0.002514265609003736
MICROCHIP_SQUARE,MICROCHIP,4,11.7188,12.0,13.0,14.0,14.0,16.026166666666665,16.029566666666668,0.002514265609003736
MICROCHIP_TRIANGLE,MICROCHIP,3,8.635433333333333,9.0,9.0,10.0,10.0,16.026166666666665,16.029566666666668,0.002514265609003736
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,5,12.185466666666667,12.0,13.0,14.0,14.0,49.56796666666666,49.567233333333334,0.0013050843307864872
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,5,11.860466666666667,12.0,12.0,12.0,14.0,49.56796666666666,49.567233333333334,0.0013050843307864872
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,5,15.0546,15.0,16.0,17.0,18.0,49.56796666666666,49.567233333333334,0.0013050843307864872
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,5,12.593566666666666,13.0,13.0,14.0,14.0,49.56796666666666,49.567233333333334,0.0013050843307864872
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,5,12.7829,13.0,14.0,14.0,15.0,49.56796666666666,49.567233333333334,0.0013050843307864872
PANEL_1X2,PANEL,4,11.509766666666666,12.0,12.0,13.0,13.0,49.56796666666666,49.567233333333334,0.0013050843307864872
PANEL_1X4,PANEL,3,8.376633333333332,8.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
PANEL_2X2,PANEL,3,8.515466666666667,9.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
PANEL_2X4,PANEL,4,9.8405,10.0,10.0,11.0,11.0,29.547,29.546266666666668,0.002133300860574176
PANEL_4X4,PANEL,3,8.750466666666666,9.0,9.0,10.0,10.0,29.547,29.546266666666668,0.002133300860574176
PEBBLES_L,PEBBLES,5,13.0205,13.0,14.0,14.0,15.0,37.605666666666664,37.613533333333336,0.0019259166213248756
PEBBLES_M,PEBBLES,5,13.1209,13.0,14.0,14.0,15.0,37.605666666666664,37.613533333333336,0.0019259166213248756
PEBBLES_S,PEBBLES,4,11.551533333333333,12.0,12.0,13.0,14.0,37.605666666666664,37.613533333333336,0.0019259166213248756
PEBBLES_XL,PEBBLES,5,16.630766666666666,17.0,18.0,20.0,21.0,37.605666666666664,37.613533333333336,0.0019259166213248756
PEBBLES_XS,PEBBLES,3,9.744866666666667,9.0,11.0,12.0,13.0,37.605666666666664,37.613533333333336,0.0019259166213248756
ROBOT_DISHES,ROBOT,2,7.350266666666666,7.0,8.0,8.0,8.0,16.050666666666668,16.049933333333332,0.003696350320306239
ROBOT_IRONING,ROBOT,3,6.392933333333334,6.0,6.0,8.0,8.0,16.050666666666668,16.049933333333332,0.003696350320306239
ROBOT_LAUNDRY,ROBOT,2,7.165066666666666,7.0,8.0,8.0,8.0,16.050666666666668,16.049933333333332,0.003696350320306239
ROBOT_MOPPING,ROBOT,3,7.970666666666666,8.0,9.0,9.0,9.0,16.050666666666668,16.049933333333332,0.003696350320306239
ROBOT_VACUUMING,ROBOT,2,6.7533,7.0,7.0,7.0,8.0,16.050666666666668,16.049933333333332,0.003696350320306239
SLEEP_POD_COTTON,SLEEP_POD,4,10.0502,10.0,11.0,11.0,12.0,29.547,29.546266666666668,0.002133300860574176
SLEEP_POD_LAMB_WOOL,SLEEP_POD,3,9.4001,10.0,10.0,10.0,11.0,29.547,29.546266666666668,0.002133300860574176
SLEEP_POD_NYLON,SLEEP_POD,3,8.564666666666668,9.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
SLEEP_POD_POLYESTER,SLEEP_POD,4,10.2957,11.0,11.0,12.0,12.0,29.547,29.546266666666668,0.002133300860574176
SLEEP_POD_SUEDE,SLEEP_POD,3,9.949466666666666,10.0,11.0,11.0,11.0,29.547,29.546266666666668,0.002133300860574176
SNACKPACK_CHOCOLATE,SNACKPACK,7,16.471166666666665,17.0,17.0,17.0,18.0,79.99126666666666,79.99053333333333,0.000824433515188051
SNACKPACK_PISTACHIO,SNACKPACK,7,15.925633333333334,16.0,16.0,17.0,17.0,79.99126666666666,79.99053333333333,0.000824433515188051
SNACKPACK_RASPBERRY,SNACKPACK,7,16.842466666666667,17.0,17.0,18.0,18.0,79.99126666666666,79.99053333333333,0.000824433515188051
SNACKPACK_STRAWBERRY,SNACKPACK,7,17.826466666666665,18.0,19.0,19.0,19.0,79.99126666666666,79.99053333333333,0.000824433515188051
SNACKPACK_VANILLA,SNACKPACK,7,16.868666666666666,17.0,17.0,18.0,18.0,79.99126666666666,79.99053333333333,0.000824433515188051
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,3,8.3664,8.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,3,8.700433333333333,9.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,3,8.9121,9.0,9.0,10.0,10.0,29.547,29.546266666666668,0.002133300860574176
TRANSLATOR_SPACE_GRAY,TRANSLATOR,3,8.402166666666666,9.0,9.0,9.0,10.0,29.547,29.546266666666668,0.002133300860574176
TRANSLATOR_VOID_BLUE,TRANSLATOR,3,9.524666666666667,10.0,10.0,10.0,11.0,29.547,29.546266666666668,0.002133300860574176
UV_VISOR_AMBER,UV_VISOR,4,10.3205,10.0,12.0,12.0,13.0,49.56796666666666,49.567233333333334,0.0013050843307864872
UV_VISOR_MAGENTA,UV_VISOR,5,14.0916,14.0,15.0,15.0,16.0,49.56796666666666,49.567233333333334,0.0013050843307864872
UV_VISOR_ORANGE,UV_VISOR,5,13.2841,13.0,14.0,14.0,15.0,49.56796666666666,49.567233333333334,0.0013050843307864872
UV_VISOR_RED,UV_VISOR,6,14.039433333333333,14.0,15.0,15.0,16.0,49.56796666666666,49.567233333333334,0.0013050843307864872
