product,category,return_std,tail_1pct,tail_99pct,max_abs_move,corr_to_category_avg,corr_to_market_avg
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,11.479686881661264,-27.0,27.0,51.5,0.47510643348456616,0.18422619540241866
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10.245710490999125,-24.0,23.5,40.0,0.4229356479293325,0.16524113044057692
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10.879123127728175,-25.5,25.5,47.0,0.45409092016228675,0.16914000237142657
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,11.094554640497739,-26.0,26.0,51.0,0.4639200175394653,0.17160833435600478
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10.53915707167481,-24.5,25.0,43.0,0.436847261561872,0.16275100277261262
MICROCHIP_CIRCLE,MICROCHIP,9.234242831878458,-22.0,21.5,39.0,0.2962331769229992,0.1215643240664052
MICROCHIP_OVAL,MICROCHIP,12.478011055304624,-30.5,30.5,60.0,0.38936956749443524,0.1650074006287094
MICROCHIP_RECTANGLE,MICROCHIP,13.130331963193855,-31.0,31.0,61.0,0.4107870419200641,0.16347255955891285
MICROCHIP_SQUARE,MICROCHIP,20.70752424773766,-50.0,49.5,98.5,0.641100011401981,0.27763226403680324
MICROCHIP_TRIANGLE,MICROCHIP,14.50403362311008,-34.0,34.0,65.0,0.45094525763306925,0.1833054502261152
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE,10.890280858021432,-23.0,22.520000000000437,103.5,0.45614437590511187,0.16479210155168406
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE,10.983313583573056,-20.0,20.0,100.0,0.46181418086858894,0.17216321984583308
OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE,12.014562508420987,-28.0,28.0,48.0,0.5033966423711007,0.1847657682480942
OXYGEN_SHAKE_MINT,OXYGEN_SHAKE,9.883569991545052,-23.0,23.0,42.0,0.41348465282875513,0.15622616682691157
OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE,10.100781128890054,-23.5,24.0,40.0,0.4271103448680145,0.1604188053014908
PANEL_1X2,PANEL,9.054314775969623,-21.0,21.0,39.5,0.4178900017675613,0.1471508119717865
PANEL_1X4,PANEL,9.483080758364467,-22.5,22.5,44.5,0.4344319584092584,0.13863373636831647
PANEL_2X2,PANEL,9.59616813362716,-22.0,22.5,39.0,0.4329011328608699,0.13820405630568103
PANEL_2X4,PANEL,11.289150694291168,-26.5,26.0,48.0,0.5109610264759943,0.18009818059127097
PANEL_4X4,PANEL,9.957093872356895,-23.0,23.0,40.5,0.45268803840381683,0.14567968393741754
PEBBLES_L,PEBBLES,15.02554281038333,-35.0,35.0,59.0,0.05248570586071966,0.0060244662278840415
PEBBLES_M,PEBBLES,15.133575807756943,-35.0,35.5,64.5,0.05025319523519418,0.006524557788519591
PEBBLES_S,PEBBLES,15.020329732243438,-35.0,35.0,59.5,0.04737998618062854,-0.005174700576187445
PEBBLES_XL,PEBBLES,30.31421595264488,-70.5,70.52000000000044,121.0,0.033110477829668035,0.0016211716792631783
PEBBLES_XS,PEBBLES,15.052447626596496,-35.0,34.52000000000044,63.0,0.0443454792577259,0.0027360392286745984
ROBOT_DISHES,ROBOT,17.77954945577403,-100.0,100.0,102.0,0.6585545500756682,0.23744596077009122
ROBOT_IRONING,ROBOT,10.443724191982731,-20.0,20.0,102.0,0.3884019923904177,0.14415992246363776
ROBOT_LAUNDRY,ROBOT,9.822310405959787,-23.0,23.0,41.5,0.3570193778717536,0.1401429528940957
ROBOT_MOPPING,ROBOT,11.145837544926561,-26.0,26.0,46.5,0.4039438472428666,0.1523646971979772
ROBOT_VACUUMING,ROBOT,9.235648845638506,-22.0,21.5,37.0,0.34823673098378805,0.13777486929821053
SLEEP_POD_COTTON,SLEEP_POD,11.676551884168912,-27.5,27.5,57.0,0.46555170887220254,0.16447885919741898
SLEEP_POD_LAMB_WOOL,SLEEP_POD,10.712462882120379,-25.0,25.0,52.0,0.4367996635911768,0.15939900466565024
SLEEP_POD_NYLON,SLEEP_POD,9.620981727801162,-22.5,22.5,44.0,0.3947223004314312,0.14481767073735957
SLEEP_POD_POLYESTER,SLEEP_POD,11.890822208857262,-27.5,28.0,48.5,0.47994135535440907,0.17878118494024364
SLEEP_POD_SUEDE,SLEEP_POD,11.421701898123102,-27.0,27.0,49.0,0.4643423712897756,0.1673678510917169
SNACKPACK_CHOCOLATE,SNACKPACK,6.575629448170931,-15.0,15.5,27.5,0.1381931574999372,0.07464989378332586
SNACKPACK_PISTACHIO,SNACKPACK,5.237774061032606,-12.0,12.0,21.5,0.7812575261967657,0.1417162789825046
SNACKPACK_RASPBERRY,SNACKPACK,8.091811635504367,-19.0,19.0,33.0,-0.42691161511075776,0.006703348210926338
SNACKPACK_STRAWBERRY,SNACKPACK,8.133030635219797,-19.0,19.0,36.0,0.7064535839584847,0.11421168910391274
SNACKPACK_VANILLA,SNACKPACK,6.513084508861957,-15.0,15.0,27.0,0.13111198839182422,0.06044560161221555
TRANSLATOR_ASTRO_BLACK,TRANSLATOR,9.448883196282523,-22.0,22.0,39.0,0.4264673955651913,0.138859557861919
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR,9.85730031201278,-23.0,23.0,40.0,0.4458877628303655,0.1477570468601382
TRANSLATOR_GRAPHITE_MIST,TRANSLATOR,10.130010691536492,-23.0,23.5,46.5,0.46072557903506456,0.1534205219625651
TRANSLATOR_SPACE_GRAY,TRANSLATOR,9.423803563598405,-22.0,22.0,37.5,0.42849840253700255,0.1478670327723151
TRANSLATOR_VOID_BLUE,TRANSLATOR,10.833165737574816,-25.0,25.0,47.0,0.4918894728416662,0.16151430184123827
UV_VISOR_AMBER,UV_VISOR,8.005040545986695,-19.0,18.5,42.0,0.3429511279747164,0.13705464007949833
UV_VISOR_MAGENTA,UV_VISOR,11.202458468393116,-26.0,26.5,49.0,0.48673085047507636,0.17796513683096568
UV_VISOR_ORANGE,UV_VISOR,10.460568900706244,-24.5,24.0,48.0,0.45997394058652913,0.15184147578358426
UV_VISOR_RED,UV_VISOR,11.030453044325592,-25.0,26.0,46.0,0.4821870575683355,0.177320488527286
UV_VISOR_YELLOW,UV_VISOR,11.006158829372213,-26.0,25.5,48.0,0.4761676667934729,0.17270233700416393
