product,category,horizon,buy_taker_expected_edge_after_spread,sell_taker_expected_edge_after_spread,avg_half_spread
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,1,-7.141188480514717,-7.3715781861519485,7.256383333333333
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,5,-6.667688986159746,-7.84507768050692,7.256383333333333
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,10,-6.0687290123456785,-8.444037654320987,7.256383333333333
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,25,-4.219340726817043,-10.293425939849623,7.256383333333333
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,50,-1.0783263819095472,-13.43444028475712,7.256383333333333
GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,100,5.609643602693603,-20.12241026936027,7.256383333333333
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,1,-6.516482439910658,-6.534350893422675,6.525416666666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,5,-6.477325954643988,-6.573507378689345,6.525416666666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,10,-6.423915165165165,-6.626918168168168,6.525416666666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,25,-6.208975563909775,-6.841857769423559,6.525416666666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,50,-5.775316164154104,-7.2755171691792295,6.525416666666667
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS,100,-4.905382996632997,-8.145450336700337,6.525416666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,1,-6.857017866786679,-6.833015466546655,6.845016666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,5,-6.91240035851259,-6.777632974820744,6.845016666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,10,-6.993865515515516,-6.696167817817818,6.845016666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,25,-7.226035881370092,-6.463997451963242,6.845016666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,50,-7.663994891122279,-6.026038442211055,6.845016666666667
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,100,-8.514696801346801,-5.175336531986533,6.845016666666667
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,1,-7.008030559722639,-7.063502773610694,7.0357666666666665
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,5,-6.903233733533433,-7.1682995997999,7.0357666666666665
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,10,-6.776574140807474,-7.294959192525859,7.0357666666666665
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,25,-6.374714035087719,-7.696819298245614,7.0357666666666665
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,50,-5.746319430485762,-8.32521390284757,7.0357666666666665
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,100,-4.413359259259259,-9.658174074074074,7.0357666666666665
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,1,-6.642282498249825,-6.658984168416842,6.650633333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,5,-6.610329848257462,-6.690936818409205,6.650633333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,10,-6.582131498164832,-6.719135168501835,6.650633333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,25,-6.563766165413534,-6.737500501253133,6.650633333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,50,-6.413832663316583,-6.887434003350084,6.650633333333333
GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,100,-5.6523,-7.6489666666666665,6.650633333333333
MICROCHIP_CIRCLE,MICROCHIP,1,-4.118348726539321,-4.143817940127346,4.131083333333334
