Product,Mode,Lookback,Threshold,Portal Window Kevin,Portal Window Xeeshan
TRANSLATOR_SPACE_GRAY,reversal,100,0.95,-1306.00,-1306.00
GALAXY_SOUNDS_SOLAR_WINDS,momentum,100,0.95,-884.00,-884.00
UV_VISOR_ORANGE,reversal,100,0.95,-1578.00,-1578.00
GALAXY_SOUNDS_DARK_MATTER,reversal,100,0.95,-3903.00,-3903.00
TRANSLATOR_ASTRO_BLACK,reversal,50,0.95,281.00,281.00
MICROCHIP_RECTANGLE,reversal,100,0.95,270.00,270.00
TRANSLATOR_VOID_BLUE,reversal,50,0.95,1097.00,1097.00
SLEEP_POD_POLYESTER,reversal,100,0.95,1976.00,1976.00
PANEL_2X4,momentum,50,0.95,1768.00,1768.00
ROBOT_MOPPING,momentum,100,0.95,852.00,852.00
SLEEP_POD_NYLON,momentum,100,0.95,52.00,52.00
SLEEP_POD_LAMB_WOOL,momentum,50,0.95,-4150.00,-4150.00
SLEEP_POD_COTTON,momentum,100,0.95,3154.00,3154.00
TRANSLATOR_GRAPHITE_MIST,reversal,100,0.95,530.00,530.00
