Product,Mode,Lookback,Threshold,Portal Window Kevin,Portal Window Xeeshan
TRANSLATOR_SPACE_GRAY,momentum,100,0.95,-3044.00,-3044.00
GALAXY_SOUNDS_SOLAR_WINDS,momentum,100,0.95,-884.00,-884.00
UV_VISOR_ORANGE,momentum,100,0.95,4249.00,4249.00
GALAXY_SOUNDS_DARK_MATTER,reversal,100,1.0,-3903.00,-3903.00
TRANSLATOR_ASTRO_BLACK,reversal,100,1.0,-916.00,-916.00
MICROCHIP_RECTANGLE,momentum,50,1.0,859.00,859.00
TRANSLATOR_VOID_BLUE,reversal,100,1.0,1375.00,1375.00
SLEEP_POD_POLYESTER,reversal,100,1.0,1976.00,1976.00
PANEL_2X4,momentum,50,1.0,1768.00,1768.00
ROBOT_MOPPING,momentum,50,1.0,1622.00,1622.00
SLEEP_POD_NYLON,reversal,100,1.05,760.00,760.00
SLEEP_POD_LAMB_WOOL,momentum,100,1.05,408.00,408.00
SLEEP_POD_COTTON,reversal,100,1.05,1235.00,1235.00
TRANSLATOR_GRAPHITE_MIST,momentum,100,1.1,2630.00,2630.00
