Product,Best Found Signal,Portal Replay,Edge Status
UV_VISOR_ORANGE,100-tick momentum,4249,confirmed standalone probe edge
SLEEP_POD_COTTON,100-tick momentum,3154,confirmed standalone probe edge
TRANSLATOR_GRAPHITE_MIST,100-tick momentum,2630,small positive edge
SLEEP_POD_POLYESTER,100-tick reversal,1976,small positive edge
PANEL_2X4,50-tick momentum,1768,small positive edge
ROBOT_MOPPING,50-tick momentum,1622,small positive edge
TRANSLATOR_VOID_BLUE,100-tick reversal,1375,small positive edge
MICROCHIP_RECTANGLE,50-tick momentum,859,weak positive edge
SLEEP_POD_NYLON,100-tick reversal,760,weak positive edge
SLEEP_POD_LAMB_WOOL,100-tick momentum,408,weak positive edge
TRANSLATOR_ASTRO_BLACK,50-tick reversal,281,too weak alone
GALAXY_SOUNDS_SOLAR_WINDS,100-tick momentum,-884,no standalone edge found
TRANSLATOR_SPACE_GRAY,100-tick reversal,-1306,no standalone edge found
GALAXY_SOUNDS_DARK_MATTER,100-tick reversal,-3903,no standalone edge found
